Table name,Column name,Full Field Name English,Description English,Data type,Character max length
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySurfaceID_DisplayEng,Runway surface  (English),"The texture of the surface of the runway involved in the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySurfaceTypeID_DisplayEng,Runway surface type  (English),"The type of surface of the runway involved in the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RVRUnlimitedIND_DisplayEng,RVR unlimited indicator (English),"Indicates whether the runway visual range (RVR) is unlimited, in English. Indicator: Yes/No",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SafetyCommIssuedEnum_DisplayEng,Safety communication issued (English),"Indicates whether a TSB safety communication was issued, in English. Indicator: Yes/No. NOTE: this field has not been updated for accuracy. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SeriousIncidentEnum_DisplayEng,Serious incident (English),"Indicates whether the occurrence was a serious incident as defined by ICAO in Annex 13, in English. Indicator: Yes/No.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SkyCondID_DisplayEng,Sky conditions  (English),"The sky conditions at the time of the occurrence, in English.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,StateOperatorID_DisplayEng,State operator  (English),"The type of state operator, if relevant, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SurfaceContaminationID_DisplayEng,Surface contamination  (English),"The type of surface contamination, if relevant, in English.
Note: Each description will result in a separate entry.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,SurvEquiID_DisplayEng,Survival equipment  (English),"The survival equipment available on the occurrence aircraft, if relevant, in English.
Equipment grid - Multiple survival equipments can be assigned to an occurrence (OccID). Each equipment will result in a separate entry.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,SurvivableEnum_DisplayEng,Survivable (English),"Indicates whether the occurrence was survivable (for occurrences involving an impact), in English. Indicator: Yes/No/Unknown.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwCrosswindEnum_DisplayEng,Surface wind crosswind (English),"Indicates whether the crosswind component of the surface wind blowed from the left or the right at the time of the occurrence, in English. Indicator: Left/Right.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwDirectionEnum_DisplayEng,Surface wind direction (English),"Indicates whether the heading for the surface wind direction at the time of the occurrence is magnetic or true, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwVariableDirIND_DisplayEng,Surface wind variable direction indicator (English),"Indicates whether the direction of the surface wind was variable at the time of the occurrence, in English. Indicator: Yes/No.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,SystemEffectiveEnum_DisplayEng,System effective (English),"Indicates whether the fire suppression system was effective, in English. Indicator: Yes/Partial/No/Unknown
Fire suppression system grid - Multiple fire suppression systems can be assigned to each occurrence (OccID) and/or specific aircraft (AcID). Each system will result in a separate entry in the database.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TakeOffLandingTypeID_DisplayEng,Takeoff landing type  (English),"The type of takeoff and landing area associated with the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TaxiwayID_DisplayEng,Taxiway  (English),"The designation of the taxiway involved in the occurrence, if relevant, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TemperatureEnum_DisplayEng,Temperature (English),"The unit of measure for the temperature, in English. Indicator: C=Celsius, F=Fahrenheit.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TimeZoneID_DisplayEng,Time zone  (English),"The time zone used for reporting the time of occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ToLdgRelToSwellID_DisplayEng,Takeoff landing relative to swell  (English),"The orientation of takeoff or landing relative to swell, if relevant, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownCentrelineEnum_DisplayEng,Touchdown centreline (English),"The position of the aircraft touchdown location relative to the centreline, if relevant, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownThresholdEnum_DisplayEng,Touchdown threshold (English),"The position of the aircraft touchdown location relative to the runway threshold, if relevant, in English.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,TrafficAdvisoryTypeID_DisplayEng,Traffic advisory type  (English),"The type of traffic advisory issued at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TsbInvolveID_DisplayEng,TSB involved  (English),"The level of involvement of the TSB in domestic and foreign occurrences, in English.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,UlbID_DisplayEng,Underwater locator beacon  (English),"Indicates whether the underwater locator beacon was installed, operated, and/or relevant to the occurrence, in English.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,WakeTurbulenceCategoryID_DisplayEng,Wake turbulence category  (English),"The wake turbulence category of the occurrence aircraft, as defined by the Canadian Aviation Regulations, Standard 821 -Canadian Domestic Air Traffic Control Separation, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WaterSurfaceConditionID_DisplayEng,Water surface condition  (English),"The condition of the water surface, if relevant, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WaveHeightID_DisplayEng,Wave height  (English),"The height of the waves, if relevant, in English.",varchar,255
